,GeneID,logFC_6,adj.P.Val_6,logFC_1,adj.P.Val_1,logFC_2,adj.P.Val_2,logFC_3,adj.P.Val_3,logFC_4,adj.P.Val_4,logFC_5,adj.P.Val_5
12,AAMDC,-0.008194200726346319,0.7171291403094268,0.01848228618908544,0.11093938876149445,0.0024753103071824926,0.9001988670312433,-0.008700130235492919,0.5822178623401075,-0.004419360312770369,1.0,0.002681636872332296,1.0
13,AAMP,0.03291648840970597,0.7561333804106475,-0.04377592673512497,0.5738041510644265,-0.02069287532109791,0.8793755253602524,-0.014041782870609684,0.8861581563729389,0.03507195890496263,1.0,0.0037130180925709633,1.0
14,AAR2,-0.003596320042240142,1.0,0.03883794595758079,0.323389397203049,-0.020473917655615972,0.6795972700091598,0.02967312758858401,0.45261479642682784,-0.007598758932882761,1.0,-0.011649571439588516,1.0
15,AARD,-0.0011509425763901087,0.9264483762579724,-0.0004431817347782356,0.9960161884766735,-0.000520645453264961,0.9314220452187723,0.0029917226887998046,0.559213198416521,0.0013483317543650183,1.0,-0.0023760300878258294,1.0
16,AARS2,-0.011567283764918553,0.627881198334635,0.01392793642737021,0.4501467143965654,0.0006719027064059566,0.9771827142486909,-0.005314938246463786,0.8321854319976445,0.0005317079666237214,1.0,0.0008671312589721078,1.0
17,AARSD1,-0.037591272779682605,0.6208085958452878,0.08554341673120923,0.040125298556240196,-0.013422342907672906,0.8988480898679091,0.012426393993066671,0.8831025441247632,-0.013749061658938279,1.0,-0.008292604159956994,1.0
18,AASDH,-0.031248588069638143,0.7108756073144089,0.07045138918130281,0.10363176487174562,-0.004956449947143754,0.9418878532971656,-0.000596671553252881,1.0,-0.014271554078698283,1.0,-0.0018662295542493726,1.0
19,AASDHPPT,-0.018976151217172423,0.8595544196160779,-0.047796277022591954,0.3467729504508409,3.932927287195187e-05,1.0,0.04552116392184438,0.29637605907620485,0.016937613497293294,1.0,-0.01806711100242331,1.0
20,AASS,-0.0009574140770510068,0.9913282388993834,0.005688570939297432,0.4093224429912591,-0.0008506861205300855,0.9205284977823854,0.004150150356734766,0.565181696011336,-0.0008869971180296028,1.0,-0.003938209794132659,1.0
21,AATF,0.02268394894076136,0.7663431997084845,-0.009822277147117267,0.9339255772791853,-0.007864771888363813,0.8999436664879213,0.024862608227941264,0.6402696361970958,4.9823338245685855e-05,1.0,-0.016314858552423553,1.0
22,AATK,-0.006997640129278624,0.8837134161351957,0.04353585208330373,0.00518309749839348,-0.0051404629351990225,0.8988480898679091,-0.006555163915155542,0.8409999441562258,-0.0052056473376349485,1.0,-0.00396472206925507,1.0
23,ABAT,-0.0041661555338745465,0.862601180733772,0.005632835979541589,0.7794177873710106,0.0035033349194429813,0.8934254970357917,-0.00592191450177679,0.6844003823200148,0.0006651235563515214,1.0,-0.001009311908164685,1.0
24,ABCA1,-0.004415049870503002,0.770602319034241,-0.0012038334742835578,0.9765987924918474,0.0018922448742294397,0.8988480898679091,0.0076499508509896815,0.3092676190920466,-0.0005797726622444443,1.0,-0.004545244465814687,1.0
25,ABCA10,-3.4145555293089796e-05,1.0,-0.00012178644502044105,0.983118158259017,-0.0004033742712068175,0.8136988044307448,0.000901791713179015,0.29001958594005456,1.6152863782025904e-05,1.0,-0.00018802571842004866,1.0
26,ABCA12,8.315957040047408e-06,1.0,9.569903544916101e-07,1.0,-2.050421469461752e-05,0.8988480898679091,8.045272413913823e-07,1.0,-2.7745163202555887e-05,1.0,4.6904863566028226e-05,1.0
27,ABCA13,0.0038278383428431333,0.03212493754657932,-0.00045540395873948516,0.943033910524395,-0.00046409461933007693,0.8988480898679091,-0.0004981292893390853,0.8871150843450886,-0.00030099662635625147,1.0,-0.00040211777491951756,1.0
28,ABCA2,-0.037601971389211994,0.558629662354907,-0.05023041209108533,0.27948921658866005,0.01889914935893898,0.8320941613444894,0.042287713031765116,0.32782926853325683,-0.00029875736004934816,1.0,-0.007414877587917014,1.0
29,ABCA3,-0.013977370465154886,0.8235261988694301,0.04331291903626484,0.0891120899786201,-0.007178139792758891,0.8988480898679091,-0.0014460602646799905,1.0,-0.005124668048784645,1.0,-0.0022410282094148595,1.0
30,ABCA5,-0.010812360029062815,0.8299907355174067,-0.005230695225120239,0.9411877837287961,0.0050633737011588145,0.8988480898679091,0.010783386964031812,0.7631824779383583,-0.0007335052027221574,1.0,-0.0049696626106017355,1.0
31,ABCA6,-0.0026580838984134763,0.862601180733772,0.010230372051950987,0.07724192602633528,-0.0013164480841100473,0.8999436664879213,-0.001066004730384248,0.9461918771638667,-0.0009583027834533017,1.0,-0.0009683371333473144,1.0
32,ABCA7,-0.01941243670737337,0.5076038203860638,0.02582165830251111,0.22813098626360462,-0.001746717878414886,0.9572816762986434,0.007129379984520515,0.8389503360809265,-0.0060944093238441965,1.0,-0.0016271238813147793,1.0
33,ABCA8,-0.0001160506126972349,1.0,-0.00016526297336985792,0.972316226396482,-0.00013220732272898364,0.9289158458412412,-0.00018272867201324754,0.9353381429907947,0.0005722137199519758,1.0,-0.0001798855852170197,1.0
