,GeneID,logFC_1,adj.P.Val_1,logFC_2,adj.P.Val_2,logFC_3,adj.P.Val_3,logFC_4,adj.P.Val_4,logFC_5,adj.P.Val_5,logFC_6,adj.P.Val_6
28,ABCB4,-0.0002496840971800257,0.8953985999755228,-0.0002164398199101392,0.895970669005746,-0.0005601751092537847,0.8203370599972253,1.0642793296446705e-05,0.9971653029669062,0.0015460868739526382,0.614278336131653,-0.0009273205057568148,0.999816362823631
29,ABCB7,0.003024497676437806,0.9056987111852222,-0.01682529366719445,0.39802698876581794,-0.008824105011242651,0.7889546435939065,0.010778203677907282,0.7719568958198341,0.002937495321092925,0.9997746453217699,0.0024107198233010822,0.999816362823631
30,ABCB8,0.000679126199920034,0.9872389043232025,0.010644454906155176,0.7676979835283472,-0.012043952774494215,0.8255375860667234,0.008576831580351225,0.8815622516835244,-0.010864182902891928,0.9997746453217699,0.008456241156244652,0.999816362823631
31,ABCB9,-0.002425751228189239,0.8473849239909067,-0.0045808873179220295,0.6773104971718802,-0.0016189913390130747,0.9229396983252962,-0.0022907580870787985,0.8946187692734204,0.009037263111403904,0.8936465308037832,-0.0021912375478889833,0.999816362823631
32,ABCC1,0.0031355710886861003,0.9231761268602552,-0.01766937444837349,0.5289421142204664,0.009243231634356822,0.8326315400902601,0.005521738123181418,0.9045207312227777,0.00913407606284649,0.9997746453217699,-0.016462477151751205,0.999816362823631
33,ABCC10,0.005283753027794474,0.8554369622235275,0.031197422453753298,0.09598683772136497,-0.009623358041191203,0.7942627535118512,-0.0027547046730095476,0.9492105103571474,-0.005878102100083956,0.9997746453217699,-0.0015018615637354508,0.999816362823631
34,ABCC3,-0.004164244690638743,0.6972217671885558,-0.0043649869454658536,0.6129562253842151,-0.003230335018211489,0.7966771089093665,0.0025585429964423215,0.8602958122706454,0.00044229905121006153,0.9997746453217699,0.0044842834525025445,0.999816362823631
35,ABCC4,-0.01494552401393912,0.4955633846171288,0.008534581896125097,0.661268000840442,0.004593969656589286,0.8700479720518834,0.001553918239248931,0.9643809049817269,-0.0021743435572878396,0.9997746453217699,-0.0017940152717117776,0.999816362823631
36,ABCC5,-0.004574579974401138,0.8853275268215757,0.0333577792383008,0.10582142514826705,-0.012980416576998017,0.7380349044193456,0.009648222514824254,0.8452893662298294,-0.014794880051177167,0.9997746453217699,0.0018926581827505042,0.999816362823631
37,ABCC9,0.00041726825867145133,0.6069626857197473,-6.144233169347524e-05,0.9320110551471646,-0.0002491295640433771,0.8020446973709839,0.00016999974279231425,0.8776751078117109,3.2972602281329663e-06,0.9999614091397884,-9.540212223779551e-05,0.999816362823631
38,ABCD1,-0.009081595698184787,0.4531929010822731,0.00033318273633556675,0.9801117745236896,0.0015665724215488484,0.9234294515292921,0.005770006924410842,0.7449106250945196,-0.002393446236725101,0.9997746453217699,-0.00100157284284308,0.999816362823631
39,ABCD3,-0.010598934304509408,0.7374698545808784,-0.003865656889120078,0.8810077578337051,0.019196020238738003,0.4225477166221995,-0.003149877226655523,0.944267914121993,-0.007451311882617266,0.9997746453217699,-0.0003299939504445189,0.999816362823631
40,ABCD4,-0.005879860449793647,0.9250079605511397,0.02051655300485622,0.709752423721292,0.015793476780187665,0.8496609127823456,-0.01025107815959396,0.9081794881185907,-0.004873163675591319,0.9997746453217699,-0.008583937372054734,0.999816362823631
41,ABCE1,-0.06564886552909652,0.17555533612832377,-0.01671451722036804,0.7398253440830646,0.00318985505295169,0.967119597260859,0.022296721703847486,0.7996714811402743,0.00817490951794965,0.9997746453217699,0.0043515090650724925,0.999816362823631
42,ABCF1,-0.12219090408195693,0.050821294817187605,0.00890984338503234,0.9051176533604254,0.015527017792871939,0.8836067716139847,-0.012201428903604067,0.9185711925568831,-0.00819265958713683,0.9997746453217699,0.0585073796673779,0.7690898444040905
43,ABCF2,-0.005278516458786183,0.8594694307258048,0.030884658658906217,0.1141557481643249,0.0025429311020748677,0.9499229160675527,-0.00252331276082041,0.9546167579852802,-0.0077697963719506845,0.9997746453217699,-0.006671710453455965,0.999816362823631
44,ABCF3,0.006516212915402459,0.809932627088326,-0.0008776182064251133,0.9754875940364406,-0.015212436644824655,0.5308590604690925,0.013044875631866935,0.7352645731384115,-0.011926167675749472,0.9997746453217699,0.011996144027522668,0.999816362823631
45,ABCG1,-0.02540669657448954,0.5971169915875498,-0.04602295083743408,0.13718287623374495,0.02647245827982707,0.518840597624385,0.023221830448785494,0.7215188487779175,-0.0006991515431734666,0.9997746453217699,-0.011803829159350687,0.999816362823631
46,ABCG2,-0.002661006357478568,0.778486080487466,0.007925927914815618,0.2292406649777125,8.319200294895374e-05,0.9950669477842127,-0.0012062093568051876,0.9266837702595789,-0.00018648315836222121,0.9997746453217699,-0.0019462376709331122,0.999816362823631
